probeID	correlation	p_value_order	p_value	effect_size	case_group	control_group
cg09476997	neg	1	0.00000000000186	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07738730	neg	2	0.0000000000106	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02001279	pos	3	0.000000000172	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25362050	pos	4	0.000000000175	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07638500	neg	5	0.000000000312	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03546806	neg	6	0.000000000473	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10505630	pos	7	0.000000000564	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11882607	pos	8	0.00000000149	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04632887	pos	9	0.00000000205	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18183624	neg	10	0.0000000037	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08943494	pos	11	0.00000000435	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02325250	pos	12	0.00000000672	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07562120	neg	13	0.00000000675	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25124943	pos	14	0.00000000692	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27652459	pos	15	0.00000000711	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg17901584	pos	16	0.00000000727	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12212198	pos	17	0.00000000853	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24296397	pos	18	0.0000000116	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg23482898	pos	19	0.0000000132	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08274637	neg	20	0.000000014	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21319310	pos	21	0.0000000151	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07573872	pos	22	0.000000016	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13622265	neg	23	0.0000000182	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25157472	pos	24	0.0000000258	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11932158	pos	25	0.0000000264	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg02430430	pos	26	0.0000000284	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg26128121	neg	27	0.000000029	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09007354	neg	28	0.0000000311	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10537450	neg	29	0.0000000319	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg20494738	neg	30	0.000000034	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg24186506	neg	31	0.0000000361	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01185345	pos	32	0.0000000423	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg14483391	neg	33	0.0000000424	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg09143713	pos	34	0.0000000532	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg12970171	pos	35	0.0000000613	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg05119988	pos	36	0.0000000626	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04494800	pos	37	0.0000000683	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg25953130	pos	38	0.0000000721	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04730825	pos	39	0.0000000783	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13492133	neg	40	0.0000000806	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg13846270	neg	41	0.000000081	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27295118	pos	42	0.0000000848	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27051129	neg	43	0.0000000904	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04052934	neg	44	0.000000106	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01643605	neg	45	0.000000131	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg15030415	pos	46	0.000000133	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21926626	pos	47	0.000000145	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg04902474	pos	48	0.000000148	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg03392571	pos	49	0.000000159	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00220721	pos	50	0.000000164	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11062056	neg	51	0.000000177	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg01394781	pos	52	0.000000179	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00925492	pos	53	0.000000207	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg08376583	neg	54	0.000000243	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg11541486	neg	55	0.000000251	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00826603	neg	56	0.000000253	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16597079	pos	57	0.000000255	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg16636468	pos	58	0.000000261	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg07437464	pos	59	0.000000266	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg19449565	neg	60	0.00000028	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg00550797	pos	61	0.000000293	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg21202740	pos	62	0.000000296	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg18598117	pos	63	0.000000317	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg10359006	pos	64	0.00000035	NA	maternal hypertensive disorders in pregnancy	healthy controls
cg27108424	neg	65	0.00000035	NA	maternal hypertensive disorders in pregnancy	healthy controls
